"VRSTA TURISTIÈNEGA POTOVANJA","DESTINACIJA","PREVOZNO SREDSTVO","MERITVE","2021","2022"
"Turistièna potovanja - SKUPAJ","Destinacija - SKUPAJ","Prevozno sredstvo - SKUPAJ","Potovanja (v 1000)",5376,5934
"Turistièna potovanja - SKUPAJ","Destinacija - SKUPAJ","Prevozno sredstvo - SKUPAJ","Prenoèitve (v 1000)",21959,25650
"Turistièna potovanja - SKUPAJ","Destinacija - SKUPAJ","Prevozno sredstvo - SKUPAJ","Povpreèno število prenoèitev",4.1,4.3
"Turistièna potovanja - SKUPAJ","Destinacija - SKUPAJ","Prevozno sredstvo - SKUPAJ","Povpreèni izdatki na turista na prenoèitev (EUR)",71.56,77.10
"Turistièna potovanja - SKUPAJ","Destinacija - SKUPAJ","Osebno cestno motorno vozilo","Potovanja (v 1000)",4840,5079
"Turistièna potovanja - SKUPAJ","Destinacija - SKUPAJ","Osebno cestno motorno vozilo","Prenoèitve (v 1000)",18540,20470
"Turistièna potovanja - SKUPAJ","Destinacija - SKUPAJ","Osebno cestno motorno vozilo","Povpreèno število prenoèitev",3.8,4.0
"Turistièna potovanja - SKUPAJ","Destinacija - SKUPAJ","Osebno cestno motorno vozilo","Povpreèni izdatki na turista na prenoèitev (EUR)",63.98,67.83
"Turistièna potovanja - SKUPAJ","Destinacija - SKUPAJ","Avtobus","Potovanja (v 1000)",188,325
"Turistièna potovanja - SKUPAJ","Destinacija - SKUPAJ","Avtobus","Prenoèitve (v 1000)",813,1462
"Turistièna potovanja - SKUPAJ","Destinacija - SKUPAJ","Avtobus","Povpreèno število prenoèitev",4.3,4.5
"Turistièna potovanja - SKUPAJ","Destinacija - SKUPAJ","Avtobus","Povpreèni izdatki na turista na prenoèitev (EUR)",62.12,74.20
"Turistièna potovanja - SKUPAJ","Destinacija - SKUPAJ","Vlak","Potovanja (v 1000)",74,87
"Turistièna potovanja - SKUPAJ","Destinacija - SKUPAJ","Vlak","Prenoèitve (v 1000)",265,410
"Turistièna potovanja - SKUPAJ","Destinacija - SKUPAJ","Vlak","Povpreèno število prenoèitev",3.6,4.7
"Turistièna potovanja - SKUPAJ","Destinacija - SKUPAJ","Vlak","Povpreèni izdatki na turista na prenoèitev (EUR)",65.24,70.29
"Turistièna potovanja - SKUPAJ","Destinacija - SKUPAJ","Letalo","Potovanja (v 1000)",212,400
"Turistièna potovanja - SKUPAJ","Destinacija - SKUPAJ","Letalo","Prenoèitve (v 1000)",2077,3046
"Turistièna potovanja - SKUPAJ","Destinacija - SKUPAJ","Letalo","Povpreèno število prenoèitev",9.8,7.6
"Turistièna potovanja - SKUPAJ","Destinacija - SKUPAJ","Letalo","Povpreèni izdatki na turista na prenoèitev (EUR)",140.95,140.45
"Turistièna potovanja - SKUPAJ","Destinacija - SKUPAJ","Drugo","Potovanja (v 1000)",62,42
"Turistièna potovanja - SKUPAJ","Destinacija - SKUPAJ","Drugo","Prenoèitve (v 1000)",264,262
"Turistièna potovanja - SKUPAJ","Destinacija - SKUPAJ","Drugo","Povpreèno število prenoèitev",4.2,6.2
"Turistièna potovanja - SKUPAJ","Destinacija - SKUPAJ","Drugo","Povpreèni izdatki na turista na prenoèitev (EUR)",93.85,91.89
"Turistièna potovanja - SKUPAJ","Slovenija","Prevozno sredstvo - SKUPAJ","Potovanja (v 1000)",3253,2773
"Turistièna potovanja - SKUPAJ","Slovenija","Prevozno sredstvo - SKUPAJ","Prenoèitve (v 1000)",9025,7287
"Turistièna potovanja - SKUPAJ","Slovenija","Prevozno sredstvo - SKUPAJ","Povpreèno število prenoèitev",2.8,2.6
"Turistièna potovanja - SKUPAJ","Slovenija","Prevozno sredstvo - SKUPAJ","Povpreèni izdatki na turista na prenoèitev (EUR)",66.17,68.45
"Turistièna potovanja - SKUPAJ","Slovenija","Osebno cestno motorno vozilo","Potovanja (v 1000)",3061,2583
"Turistièna potovanja - SKUPAJ","Slovenija","Osebno cestno motorno vozilo","Prenoèitve (v 1000)",8428,6695
"Turistièna potovanja - SKUPAJ","Slovenija","Osebno cestno motorno vozilo","Povpreèno število prenoèitev",2.8,2.6
"Turistièna potovanja - SKUPAJ","Slovenija","Osebno cestno motorno vozilo","Povpreèni izdatki na turista na prenoèitev (EUR)",67.00,69.52
"Turistièna potovanja - SKUPAJ","Slovenija","Avtobus","Potovanja (v 1000)",115,132
"Turistièna potovanja - SKUPAJ","Slovenija","Avtobus","Prenoèitve (v 1000)",362,404
"Turistièna potovanja - SKUPAJ","Slovenija","Avtobus","Povpreèno število prenoèitev",3.1,3.1
"Turistièna potovanja - SKUPAJ","Slovenija","Avtobus","Povpreèni izdatki na turista na prenoèitev (EUR)",65.98,65.75
"Turistièna potovanja - SKUPAJ","Slovenija","Vlak","Potovanja (v 1000)",51,49
"Turistièna potovanja - SKUPAJ","Slovenija","Vlak","Prenoèitve (v 1000)",140,170
"Turistièna potovanja - SKUPAJ","Slovenija","Vlak","Povpreèno število prenoèitev",2.8,3.5
"Turistièna potovanja - SKUPAJ","Slovenija","Vlak","Povpreèni izdatki na turista na prenoèitev (EUR)",41.34,35.01
"Turistièna potovanja - SKUPAJ","Slovenija","Letalo","Potovanja (v 1000)",N,-
"Turistièna potovanja - SKUPAJ","Slovenija","Letalo","Prenoèitve (v 1000)",N,-
"Turistièna potovanja - SKUPAJ","Slovenija","Letalo","Povpreèno število prenoèitev",N,-
"Turistièna potovanja - SKUPAJ","Slovenija","Letalo","Povpreèni izdatki na turista na prenoèitev (EUR)",N,-
"Turistièna potovanja - SKUPAJ","Slovenija","Drugo","Potovanja (v 1000)",N,N
"Turistièna potovanja - SKUPAJ","Slovenija","Drugo","Prenoèitve (v 1000)",N,N
"Turistièna potovanja - SKUPAJ","Slovenija","Drugo","Povpreèno število prenoèitev",N,N
"Turistièna potovanja - SKUPAJ","Slovenija","Drugo","Povpreèni izdatki na turista na prenoèitev (EUR)",N,N
"Turistièna potovanja - SKUPAJ","Tujina","Prevozno sredstvo - SKUPAJ","Potovanja (v 1000)",2123,3161
"Turistièna potovanja - SKUPAJ","Tujina","Prevozno sredstvo - SKUPAJ","Prenoèitve (v 1000)",12933,18362
"Turistièna potovanja - SKUPAJ","Tujina","Prevozno sredstvo - SKUPAJ","Povpreèno število prenoèitev",6.1,5.8
"Turistièna potovanja - SKUPAJ","Tujina","Prevozno sredstvo - SKUPAJ","Povpreèni izdatki na turista na prenoèitev (EUR)",75.33,80.53
"Turistièna potovanja - SKUPAJ","Tujina","Osebno cestno motorno vozilo","Potovanja (v 1000)",1779,2496
"Turistièna potovanja - SKUPAJ","Tujina","Osebno cestno motorno vozilo","Prenoèitve (v 1000)",10111,13775
"Turistièna potovanja - SKUPAJ","Tujina","Osebno cestno motorno vozilo","Povpreèno število prenoèitev",5.7,5.5
"Turistièna potovanja - SKUPAJ","Tujina","Osebno cestno motorno vozilo","Povpreèni izdatki na turista na prenoèitev (EUR)",61.46,67.00
"Turistièna potovanja - SKUPAJ","Tujina","Avtobus","Potovanja (v 1000)",73,193
"Turistièna potovanja - SKUPAJ","Tujina","Avtobus","Prenoèitve (v 1000)",451,1058
"Turistièna potovanja - SKUPAJ","Tujina","Avtobus","Povpreèno število prenoèitev",6.2,5.5
"Turistièna potovanja - SKUPAJ","Tujina","Avtobus","Povpreèni izdatki na turista na prenoèitev (EUR)",59.02,77.43
"Turistièna potovanja - SKUPAJ","Tujina","Vlak","Potovanja (v 1000)",N,38
"Turistièna potovanja - SKUPAJ","Tujina","Vlak","Prenoèitve (v 1000)",N,240
"Turistièna potovanja - SKUPAJ","Tujina","Vlak","Povpreèno število prenoèitev",N,6.3
"Turistièna potovanja - SKUPAJ","Tujina","Vlak","Povpreèni izdatki na turista na prenoèitev (EUR)",N,95.31
"Turistièna potovanja - SKUPAJ","Tujina","Letalo","Potovanja (v 1000)",211,400
"Turistièna potovanja - SKUPAJ","Tujina","Letalo","Prenoèitve (v 1000)",2075,3046
"Turistièna potovanja - SKUPAJ","Tujina","Letalo","Povpreèno število prenoèitev",9.8,7.6
"Turistièna potovanja - SKUPAJ","Tujina","Letalo","Povpreèni izdatki na turista na prenoèitev (EUR)",140.94,140.45
"Turistièna potovanja - SKUPAJ","Tujina","Drugo","Potovanja (v 1000)",N,33
"Turistièna potovanja - SKUPAJ","Tujina","Drugo","Prenoèitve (v 1000)",N,244
"Turistièna potovanja - SKUPAJ","Tujina","Drugo","Povpreèno število prenoèitev",N,7.3
"Turistièna potovanja - SKUPAJ","Tujina","Drugo","Povpreèni izdatki na turista na prenoèitev (EUR)",N,95.13
"Zasebna potovanja","Destinacija - SKUPAJ","Prevozno sredstvo - SKUPAJ","Potovanja (v 1000)",4963,5413
"Zasebna potovanja","Destinacija - SKUPAJ","Prevozno sredstvo - SKUPAJ","Prenoèitve (v 1000)",20212,23608
"Zasebna potovanja","Destinacija - SKUPAJ","Prevozno sredstvo - SKUPAJ","Povpreèno število prenoèitev",4.1,4.4
"Zasebna potovanja","Destinacija - SKUPAJ","Prevozno sredstvo - SKUPAJ","Povpreèni izdatki na turista na prenoèitev (EUR)",67.83,71.56
"Zasebna potovanja","Destinacija - SKUPAJ","Osebno cestno motorno vozilo","Potovanja (v 1000)",4541,4748
"Zasebna potovanja","Destinacija - SKUPAJ","Osebno cestno motorno vozilo","Prenoèitve (v 1000)",17655,19523
